id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
722291;Condo in Bangkok ;4.82 ;1;1;1;1810415;Egidio;;Sathon;13.72109;100.53915;Entire home/apt;1004;300;35;17-06-2022;0.28;3;24;0;
1630813;Rental unit in Bangkok ;4.82 ;1;1;1;8663142;ISanook;;Bang Rak;13.73232;100.52336;Private room;2850;30;11;27-09-2023;0.09;53;230;3;
1630920;Rental unit in Bangkok ;4.55 ;1;2;1;8663142;ISanook;;Bang Rak;13.73241;100.52168;Private room;2050;30;23;11-01-2018;0.19;53;353;0;
1631106;Rental unit in Bangkok ;4.48 ;2;3;2;8663142;ISanook;;Bang Rak;13.73195;100.52318;Private room;4000;30;34;24-01-2023;0.28;53;344;1;
722660;Condo in Bangkok ;0;1;1;1;3734436;Chok;;Sathon;13.70644;100.52544;Entire home/apt;1212;21;0;;;2;365;0;
1638413;Rental unit in Bangkok ;4.47 ;1;1;1;2129668;Wimonpak;;Sathon;13.71637;100.51592;Entire home/apt;750;120;228;18-11-2019;1.83;42;90;0;
1016487;Home in Bangkok ;0;1;4;0;5594281;Yodying;;Chatu Chak;13.82148;100.58326;Private room;350;30;0;;;1;0;0;
723070;Condo in Khet Sathon ;0;2;1;1;3734436;Chok;;Sathon;13.72075;100.53993;Entire home/apt;1559;21;2;05-12-2018;0.03;2;364;0;
729015;Rental unit in Bangkok ;4.94 ;2;1;1;3785867;Julia;;Khlong San;13.72077;100.51202;Entire home/apt;3395;360;36;30-04-2018;0.27;2;364;0;
1019241;Rental unit in Bangkok ;4.70 ;2;2;1;3323622;Phoebe;;Bang Rak;13.72687;100.52725;Entire home/apt;;30;102;20-02-2020;0.79;1;0;0;
1642375;Hotel in Khet Yan Nawa ;0;1;1;1;8717079;John From Chatrium Sathon;;Yan na wa;13.70249;100.53757;Private room;4271;1;1;22-09-2019;0.02;14;328;0;
